observed_Vp,observed_Vs,observed_rho,observed_phi,GD1_Vp,GD1_Vs,GD1_rho,GD1_phi,GD_Vp,GD_Vs,GD_rho,GD_phi
3412.866487,1902.645098,2382.412443,0.156810084,3605.548768,1923.426133,2385.09954,0.130666455,3471.433291,1831.561489,2376.477661,0.155196289
3607.539854,2115.363241,2405.740734,0.142127538,3466.022493,1895.152845,2378.044052,0.152473008,3609.559501,2075.55947,2386.4161,0.14192877
4960.324149,2592.453978,2581.51043,0.04582187,4906.161639,2575.975946,2569.423827,0.050093053,5058.764574,2611.245725,2584.665854,0.041182137
6177.317696,3041.389901,2691.342757,0.013399998,6025.180129,3239.569989,2680.289334,0.020838553,6308.566553,3219.393636,2692.110369,0.006774773
4428.753856,2684.769537,2507.631635,0.073656269,4750.826694,2821.757946,2576.862418,0.062455066,4659.451156,2528.322868,2511.362842,0.076774638
7265.024132,3870.864481,2667.0715,0.01002774,7298.633286,3707.60093,2658.45473,0.011576978,7303.30737,3809.287654,2635.24616,0.015282973
3426.218945,1842.035074,2375.016264,0.149974826,3580.420537,1808.365949,2390.386012,0.138224136,3448.849299,1759.291489,2358.719341,0.155992621
3553.729411,2119.284617,2404.066068,0.146735519,3490.971331,1940.108811,2376.05233,0.149781339,3571.84288,2027.891627,2386.900327,0.143769095
4810.052633,2588.100137,2567.36365,0.068161636,4803.537546,2556.915462,2575.018209,0.065440007,4879.869088,2514.79353,2566.265446,0.054697353
6385.055094,3152.1337,2691.118564,0.011180458,6156.550855,3060.441174,2669.82863,0.021554422,6411.190111,3392.22334,2705.925476,0.012279206
4280.641031,2359.884477,2490.203058,0.074396213,4719.375036,2701.944962,2548.046692,0.073064239,4753.269879,2558.025187,2499.61299,0.076728922
7206.587232,3805.66666,2662.987818,0.018313997,7263.568001,3712.89161,2667.854528,0.002643367,7198.034553,3724.694499,2633.907142,0.02704612
3385.968358,1885.819114,2359.105012,0.149376969,3495.648901,1837.197158,2378.458443,0.148771228,3367.740312,1784.39056,2350.299607,0.157577491
3605.498805,2074.701501,2391.010116,0.150733046,3438.193493,1927.803072,2381.384874,0.146073457,3591.188296,2011.5404,2386.548932,0.151607694
4686.948125,2474.267958,2548.567596,0.070810594,4655.719965,2456.65861,2546.139453,0.069687475,4816.632104,2469.862393,2541.297296,0.066285679
5993.157666,3346.189457,2690.732276,0.019996985,6123.10242,3094.202506,2670.957758,0.017707112,6205.150679,3343.057067,2701.653369,0.014614664
4413.993149,2640.234345,2517.591826,0.049337267,4876.550934,2819.631514,2521.247139,0.065773467,4377.061315,2657.201695,2530.956294,0.075142303
7238.254296,3880.384285,2695.91927,0.018085731,7139.406487,3683.159753,2654.080696,0.008580314,7194.055114,3697.828573,2645.794887,0.024398527
3425.491202,1848.214046,2366.858776,0.148930815,3501.069017,1823.751773,2375.967854,0.158549458,3388.283766,1847.901546,2375.662332,0.153432636
3662.706841,2060.257688,2390.187634,0.144289854,3456.642482,1968.392247,2382.668232,0.149156763,3564.597263,2046.182548,2401.289679,0.152071746
4471.857945,2357.842027,2510.387578,0.080640564,4346.409502,2478.707491,2542.720209,0.093861085,4642.590354,2412.674554,2521.505973,0.070118665
6069.586551,3483.432085,2715.785103,0.022021014,6361.897438,3221.899477,2685.669166,0.012906137,6063.838644,3483.824273,2702.529784,0.010227431
4332.072653,2534.459103,2527.322761,0.085535751,4706.350021,2548.190492,2510.439528,0.04137578,4409.026074,2601.700631,2526.2843,0.082074802
7205.844069,3673.447776,2674.587466,0.011409935,7136.967758,3618.436564,2636.745206,0.014447786,7279.532237,3556.989962,2646.523722,0.011875058
3486.999982,1855.274187,2371.438647,0.157435131,3568.940842,1948.433212,2395.320799,0.139170785,3519.293636,1899.148263,2366.022512,0.156983696
3589.845782,2056.113353,2394.456001,0.14674419,3429.791566,2046.687485,2393.44249,0.160299286,3573.034547,2090.004066,2412.852053,0.153574708
4228.671351,2331.104595,2505.664874,0.101175323,4077.541011,2354.944423,2525.17577,0.114230877,4422.764767,2321.008803,2500.684719,0.078110883
6065.6116,3358.065581,2703.281827,0.025651043,6650.504992,3300.910291,2678.960656,0.002545517,6196.044718,3234.404566,2681.830983,0.016038789
4728.600288,3014.206402,2568.789846,0.048325332,4558.214521,2212.764147,2511.758451,0.046529295,4706.124293,2686.022293,2544.958475,0.049764232
7139.075828,3601.948695,2667.90215,0.009174954,7074.886769,3617.217589,2638.944427,0.010746877,7181.972913,3564.01176,2656.370681,0.002457277
3496.656486,1874.280764,2375.34984,0.160335695,3561.86472,1858.191694,2398.876263,0.136806643,3546.454341,1864.833117,2384.913836,0.156782218
3612.313617,2073.83463,2408.476316,0.143445391,3483.270932,2065.171949,2381.899994,0.152626678,3550.090726,2058.714996,2415.650459,0.150678563
4044.757933,2240.113541,2482.767249,0.108508837,3853.974489,2206.421671,2511.351179,0.129042158,4227.160095,2229.267168,2486.943859,0.091766079
6285.063172,3145.502036,2675.295297,0.014281264,6392.727664,3461.647103,2690.322699,0.014991284,6338.052971,3139.646368,2666.137051,0.011410447
4681.300245,2327.628334,2567.866799,0.056563478,4371.691471,2082.420204,2540.212948,0.06702774,4480.396674,2007.935034,2564.094329,0.042578224
7190.310773,3530.653566,2652.233902,0.000471064,7113.637091,3547.744019,2623.42016,0.006983889,7277.893702,3495.093154,2642.491614,-0.005142886
3500.924686,1878.938455,2382.440926,0.152099656,3557.585704,1915.437921,2378.875787,0.133420435,3523.915757,1892.899145,2384.823507,0.158428957
3587.046329,2022.649341,2388.100704,0.138071803,3541.58451,1995.880005,2368.254832,0.140901561,3579.915248,1999.684857,2401.193255,0.130575542
3883.047871,2186.845493,2460.91847,0.120089036,3790.215804,2132.788077,2475.309863,0.129590108,4024.236276,2249.34713,2494.355609,0.106559341
6105.846077,2998.688563,2708.613725,0.017089827,6516.828803,3178.799495,2698.913539,0.006771755,6334.79811,3087.863856,2696.974273,0.010052208
4666.565394,1827.584056,2534.790411,0.047952703,4905.708743,1804.87123,2528.409167,0.031706287,4240.80169,2340.840923,2591.479092,0.037440783
7127.803165,3492.874581,2666.164909,0.021232461,7010.0296,3430.522633,2615.533993,0.010763656,7216.729668,3438.876811,2644.010146,0.003263393
3493.792671,1890.435412,2389.248656,0.150574332,3523.686542,1966.671298,2383.226034,0.142842347,3437.42139,1907.599563,2395.38647,0.153712001
3685.436198,1988.090011,2394.926798,0.126811541,3509.456108,1985.680417,2370.946363,0.139239744,3677.439161,2070.362165,2404.180617,0.137562253
3821.980214,2029.087281,2462.548659,0.11881573,3702.826065,2144.435172,2474.392476,0.136831477,3864.814655,2114.466117,2483.065262,0.114324521
6222.451163,3219.5188,2703.027575,0.010937641,6412.271289,3102.169973,2715.853379,0.009624837,6146.161269,3111.241994,2700.825913,0.019508087
4891.201859,1533.810885,2540.283487,0.035407932,5371.424922,1440.383254,2545.725061,0.009950043,4127.835035,1952.406542,2601.0808,0.045640591
7080.618397,3336.96516,2645.919756,0.015313498,7050.181641,3417.897667,2641.661554,0.012316494,7150.819196,3291.727621,2635.143521,0.007116535
3536.570595,1922.260988,2359.96998,0.140636581,3570.972842,1943.605089,2388.95081,0.151543592,3606.995117,1907.341923,2365.996208,0.132666208
3636.835698,1952.389611,2387.655657,0.134199604,3550.886766,1959.899806,2364.478594,0.129455021,3706.648378,1991.366595,2409.783068,0.126379179
3844.247694,1952.410363,2429.475217,0.119737404,3533.327495,2090.192126,2439.293224,0.14199775,3841.10763,2075.217058,2448.438654,0.117179968
6519.004185,3238.681746,2716.522405,0.008982792,6838.356682,3143.963943,2740.64336,-0.001575584,6211.458833,3193.614076,2713.316866,0.014613946
4804.287775,1622.056504,2542.598854,0.035769587,5126.169869,1771.895159,2515.745511,0.027957152,4215.891893,1804.529221,2586.106994,0.061217404
7150.502362,3371.387297,2652.832741,0.013406449,7031.027802,3427.019155,2661.539119,0.01977937,7172.022,3368.990817,2645.42519,0.003327484
3556.389857,1924.192949,2361.00232,0.147310024,3483.534731,1893.41057,2386.4439,0.147040615,3648.900448,1866.132047,2371.381097,0.148357816
3717.719034,2062.821849,2407.9417,0.131814241,3496.422736,1994.781182,2368.017718,0.137680189,3763.995274,2050.223883,2438.318984,0.122576439
3774.819928,1948.290667,2416.137806,0.125456642,3536.416729,2043.536444,2413.609491,0.141383524,3827.458893,1981.931213,2422.837914,0.108768581
6957.910548,3237.243789,2729.860418,-0.004726849,6574.639273,3176.431908,2740.93813,0.0129872,6455.582285,3210.887741,2699.566282,0.006505714
4194.838016,1398.529722,2595.127379,0.075988903,5008.595704,1448.912754,2521.799299,0.045066363,3833.924752,1195.255074,2577.496651,0.071436783
7140.0569,3374.972053,2652.821669,0.002544162,7065.336888,3327.187645,2649.038537,0.012070542,7185.202236,3360.297899,2646.644722,-0.003064156
3566.887547,1986.311347,2371.836179,0.141484178,3537.36061,1924.01165,2391.232048,0.144886399,3569.385529,1906.04764,2370.604505,0.146034206
3692.199063,2097.44961,2408.828366,0.123733851,3503.006129,2004.053261,2388.13358,0.140220958,3839.073197,2085.289703,2425.07878,0.115019471
3641.931903,1858.574917,2385.650682,0.131184071,3503.532402,1998.347122,2412.566834,0.142369404,3763.737322,1886.903851,2383.407827,0.115057217
6768.611121,3455.212389,2713.711519,0.006577348,6604.339761,3302.280233,2715.965163,0.018150514,6638.5875,3315.169755,2700.002774,0.010071053
4399.226583,1402.39703,2590.35632,0.071978341,4892.278149,1330.996666,2538.292304,0.05584183,3956.54477,1478.225134,2605.332444,0.075688513
7114.160513,3364.282876,2651.987572,0.003099719,7066.682561,3367.49844,2641.811006,0.011805303,7136.249635,3315.496255,2644.955888,0.003590564
3579.529113,2006.316949,2392.917696,0.146788657,3462.396895,1906.450862,2354.29495,0.152838348,3532.997596,1960.704246,2365.557224,0.155198581
3682.232373,2080.711201,2408.228439,0.123840409,3602.696964,1978.958986,2381.181477,0.130062583,3782.219261,2101.947752,2430.385267,0.11900305
3615.842191,1931.171779,2379.874546,0.135902891,3471.81563,1868.227069,2409.747486,0.143336649,3697.490516,1834.300974,2381.369701,0.120181583
6641.435663,3225.180765,2710.623516,0.010698814,6542.214134,3245.131886,2690.445589,0.016813254,6850.288264,3304.561874,2704.119642,0.004338639
4355.843458,1607.928712,2610.434167,0.070298986,4943.892315,1456.756301,2542.495486,0.066486832,4747.247571,1693.472688,2656.921609,0.047914569
7160.672574,3324.112065,2654.02563,0.007170707,7004.82876,3419.14034,2658.755998,0.013629336,7156.274902,3188.92205,2634.359526,0.002716254
3623.303714,1928.153058,2383.434327,0.141634989,3391.575575,1966.268617,2372.720739,0.169045505,3527.821007,1913.448725,2376.21416,0.153175085
3636.887246,2161.854215,2417.822431,0.135542006,3633.512365,2015.580538,2395.653466,0.135622322,3775.323814,2118.549547,2409.904916,0.123624795
3530.881508,1906.170559,2393.198081,0.152004776,3381.965725,1909.854895,2410.482633,0.159382441,3596.06286,1892.978385,2385.936574,0.140786004
